scientific_name_normalized,total_interaction_records,group_Butterflies & moths,group_Other insects,group_Sawflies,group_Beetles,group_Birds,group_Flower flies & other flies,group_True bugs,group_Native bees,"group_Grasshoppers, crickets & katydids",group_Wasps & ants,group_Hummingbirds,group_Mammals,group_Honey bees (non-native)
abutilon fruticosum,29,23.0,5.0,1.0,,,,,,,,,,
acer grandidentatum,210,200.0,9.0,,1.0,,,,,,,,,
acer negundo,298,202.0,29.0,,2.0,63.0,1.0,1.0,,,,,,
achillea millefolium,90,12.0,6.0,,4.0,63.0,,1.0,3.0,1.0,,,,
acleisanthes obtusa,2,,1.0,,,,,,,,1.0,,,
acourtia runcinata,1,1.0,,,,,,,,,,,,
acourtia wrightii,3,1.0,2.0,,,,,,,,,,,
adiantum pedatum,1,1.0,,,,,,,,,,,,
aesculus glabra,39,36.0,2.0,,1.0,,,,,,,,,
aesculus pavia,116,48.0,2.0,,1.0,63.0,,,,,,1.0,1.0,
agave americana,16,15.0,1.0,,,,,,,,,,,
ageratina havanensis,71,55.0,11.0,,,,,,,,4.0,1.0,,
aloysia gratissima,66,5.0,,,,61.0,,,,,,,,
amorpha canescens,41,36.0,5.0,,,,,,,,,,,
amorpha fruticosa,45,39.0,5.0,,,,,,1.0,,,,,
amorpha roemeriana,37,36.0,1.0,,,,,,,,,,,
amsonia ciliata,2,2.0,,,,,,,,,,,,
andropogon gerardii,34,27.0,5.0,,,2.0,,,,,,,,
andropogon glomeratus,34,27.0,4.0,,,2.0,,,,,,,1.0,
andropogon virginicus,33,27.0,4.0,,,2.0,,,,,,,,
anisacanthus quadrifidus var. wrightii,15,14.0,1.0,,,,,,,,,,,
aquilegia canadensis,11,8.0,2.0,,,,,,,,,1.0,,
arbutus xalapensis,23,20.0,,,,1.0,,,,,,,2.0,
argemone polyanthemos,6,4.0,,,,,,,2.0,,,,,
argemone sanguinea,7,4.0,,,,1.0,,,2.0,,,,,
aristida purpurea,70,4.0,2.0,,,64.0,,,,,,,,
aristolochia erecta,5,2.0,3.0,,,,,,,,,,,
asclepias asperula,106,62.0,15.0,,2.0,,1.0,3.0,17.0,,1.0,,,5.0
asclepias incarnata,47,30.0,9.0,,,,1.0,1.0,6.0,,,,,
asclepias oenotheroides,60,45.0,7.0,,,,1.0,1.0,6.0,,,,,
asclepias texana,59,37.0,11.0,,,,3.0,2.0,6.0,,,,,
asclepias tuberosa,114,30.0,10.0,,2.0,63.0,2.0,1.0,6.0,,,,,
asclepias viridis,124,42.0,8.0,,,60.0,1.0,2.0,9.0,,,,,2.0
baptisia bracteata,25,24.0,1.0,,,,,,,,,,,
berlandiera lyrata,5,,,,,,,,5.0,,,,,
bernardia myricifolia,3,2.0,,,1.0,,,,,,,,,
bothriochloa laguroides,5,5.0,,,,,,,,,,,,
bouteloua curtipendula,100,25.0,12.0,,,63.0,,,,,,,,
bouteloua dactyloides,29,25.0,3.0,,,,,,,,,,1.0,
bouteloua gracilis,26,25.0,1.0,,,,,,,,,,,
bouteloua rigidiseta,26,25.0,,,,1.0,,,,,,,,
brickellia eupatorioides,13,11.0,1.0,,,,,,1.0,,,,,
callicarpa americana,72,6.0,3.0,,,63.0,,,,,,,,
callirhoe involucrata,18,3.0,2.0,,2.0,,2.0,,9.0,,,,,
calyptocarpus vialis,37,24.0,5.0,,4.0,,1.0,,2.0,,,,1.0,
campsis radicans,18,10.0,5.0,,,,,,2.0,,,1.0,,
capsicum annuum,40,35.0,5.0,,,,,,,,,,,
carex blanda,40,27.0,13.0,,,,,,,,,,,
carex cherokeensis,39,27.0,12.0,,,,,,,,,,,
carex emoryi,39,27.0,12.0,,,,,,,,,,,
carex perdentata,39,27.0,12.0,,,,,,,,,,,
carex texensis,39,27.0,12.0,,,,,,,,,,,
carya illinoinensis,381,230.0,63.0,,18.0,63.0,,4.0,,,,,3.0,
celtis ehrenbergiana,145,79.0,33.0,,3.0,,16.0,9.0,1.0,,2.0,,2.0,
cephalanthus occidentalis,138,49.0,14.0,,,64.0,,,9.0,,,,,2.0
cercis canadensis var. mexicana,36,33.0,,,,,,,1.0,,,,,2.0
cercis canadensis var. texensis,40,34.0,,,,1.0,,,2.0,,,,1.0,2.0
chaetopappa ericoides,1,,1.0,,,,,,,,,,,
chamaecrista fasciculata,29,21.0,2.0,,,1.0,,2.0,3.0,,,,,
chasmanthium latifolium,73,9.0,1.0,,,63.0,,,,,,,,
chilopsis linearis,12,5.0,5.0,,,,,,2.0,,,,,
chloracantha spinosa,5,2.0,3.0,,,,,,,,,,,
chrysactinia mexicana,3,2.0,1.0,,,,,,,,,,,
clematis drummondii,104,29.0,10.0,,,61.0,,,4.0,,,,,
clematis pitcheri,22,15.0,3.0,,,,,,4.0,,,,,
clematis texensis,21,15.0,2.0,,,,,,4.0,,,,,
cocculus carolinus,6,3.0,2.0,,,1.0,,,,,,,,
colubrina texensis,14,2.0,4.0,,,2.0,,1.0,,,3.0,,2.0,
commelina erecta,12,6.0,3.0,,,1.0,,,,,,,,2.0
condalia hookeri,21,8.0,5.0,,,6.0,,2.0,,,,,,
conoclinium coelestinum,29,20.0,5.0,,,,,,2.0,,2.0,,,
coreopsis basalis,33,7.0,2.0,,2.0,,,1.0,21.0,,,,,
coreopsis lanceolata,29,7.0,2.0,,2.0,,,1.0,17.0,,,,,
cornus drummondii,188,95.0,14.0,,11.0,64.0,,,1.0,,1.0,,,2.0
cotinus obovatus,6,6.0,,,,,,,,,,,,
croton texensis,29,19.0,3.0,,1.0,2.0,,,4.0,,,,,
cynanchum barbigerum,8,8.0,,,,,,,,,,,,
