musym,muname,mukey,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,compname,comppct_r,majcompflag,localphase,slope_r,runoff,drainagecl,hydricrating,hydgrp,geomdesc,ecoclassname,min_restrictive_depth_cm,restriction_kinds,topsoil_clay_pct,topsoil_sand_pct,topsoil_silt_pct,topsoil_caco3_pct,topsoil_ph,topsoil_om_pct,dashboard_soil_bucket,dashboard_soil_label
AgC3,"Altoga silty clay, 2 to 5 percent slopes, eroded",378697,,4,4,,,,,,0,4.25,8.5,17,25.5,Well drained,Well drained,C,,100,3,100,Somewhat limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Altoga,92,Yes,eroded,4.0,High,Well drained,No,C,stream terraces on plains,Northern Eroded Blackland; Southern Clay Loam,,,42.5,7.5,50.0,54.0,8.2,1.05,floodplain_bottomland,Creek / floodplain / bottomland
AgD3,"Altoga silty clay, 5 to 8 percent slopes, eroded",378699,,7,7,,,,,,0,4.18,8.18,16.18,24.18,Well drained,Well drained,C,,100,6,100,Somewhat limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Altoga,92,Yes,eroded,7.0,Very high,Well drained,No,C,stream terraces on plains,Southern Clay Loam; Southern Eroded Blackland,104.0,Densic bedrock,42.5,9.5,48.0,54.0,8.2,1.05,floodplain_bottomland,Creek / floodplain / bottomland
AnA,"Anhalt clay, 0 to 2 percent slopes",378700,,1,1,71,,,,,0,3.25,6.5,9.23,9.23,Well drained,Well drained,D,,100,3,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Anhalt,85,Yes,,1.0,Very high,Well drained,No,D,hillslopes on plateaus,Clay Loam 29-35 PZ; Deep Redland 29-35 PZ; Low Stony Hill 29-35 PZ; Redland 29-35 PZ,33.0,Lithic bedrock; Paralithic bedrock,63.0,10.0,27.0,1.0,7.3,3.0,thin_limestone,Thin rocky limestone / karst
AnB,"Anhalt clay, 1 to 3 percent slopes",378701,,2,2,74,,,,,0,3.15,6.27,9.39,9.39,Well drained,Well drained,D,,100,3,92,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Anhalt,92,Yes,,2.0,Very high,Well drained,No,D,hillslopes on plateaus,Clay Loam 29-35 PZ; Deep Redland 29-35 PZ; Redland 29-35 PZ,46.0,Lithic bedrock; Paralithic bedrock,65.66666666666667,10.0,24.333333333333332,0.6666666666666666,7.3,3.0,thin_limestone,Thin rocky limestone / karst
AuB,"Austin-Castephen complex, 1 to 3 percent slopes",378702,,2,2,46,,,,,0,3.92,7.69,9.01,9.01,Well drained,Well drained,C,,100,3,60,Somewhat limited,Somewhat limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.484,Erosion hazard slight,0,0.935,Austin,60,Yes,,2.0,Medium,Well drained,No,C,ridges on plains,Southern Chalky Ridge; Southern Clay Loam,46.0,Paralithic bedrock,41.166666666666664,11.033333333333333,47.79999999999999,50.0,8.2,1.75,thin_limestone,Thin rocky limestone / karst
AuC3,"Austin-Castephen complex, 2 to 5 percent slopes, eroded",378703,,4,4,46,,,,,0,3.92,7.69,10.21,10.21,Well drained,Well drained,C,,100,4,90,Somewhat limited,Somewhat limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.484,Erosion hazard moderate,0,0.765,Austin,60,Yes,eroded,4.0,Medium,Well drained,No,C,ridges on plains,Southern Chalky Ridge; Southern Clay Loam,46.0,Paralithic bedrock,41.166666666666664,11.033333333333333,47.79999999999999,50.0,8.2,1.75,thin_limestone,Thin rocky limestone / karst
BoB,"Boerne fine sandy loam, 1 to 3 percent slopes, rarely flooded",378705,,2,2,,,,Rare,Rare,0,3,6,12,18,Well drained,Well drained,A,3,94,3,94,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.045,Erosion hazard slight,0,0.45,Boerne,94,Yes,,2.0,Very low,Well drained,No,A,"stream terraces on plateaus, flood plains on plateaus",Clay Loam 29-35 PZ; Loamy Bottomland 29-35 PZ; Southern Clay Loam,,,17.0,64.0,19.0,55.0,8.2,0.75,floodplain_bottomland,Creek / floodplain / bottomland
BrB,"Bolar clay loam, 1 to 3 percent slopes",378707,,2,2,71,,,,,0,3,6,8.52,8.52,Well drained,Well drained,C,,100,3,90,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.296,Erosion hazard slight,0,0.964,Bolar,90,Yes,,2.0,Low,Well drained,No,C,hillslopes on plateaus,Clay Loam 29-35 PZ; Shallow 29-35 PZ,48.0,Lithic bedrock; Paralithic bedrock,30.0,34.0,36.0,47.5,8.0,1.875,thin_limestone,Thin rocky limestone / karst
BtD,"Brackett-Rock outcrop-Comfort complex, 1 to 8 percent slopes",378708,,5,4.8,0,,,,,0,2.44,3.41,3.41,3.41,Well drained,Well drained,D,,100,6,65,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.37,Erosion hazard moderate,0,1,Brackett,50,Yes,,5.0,High,Well drained,No,D,ridges on plateaus,Adobe 29-35 PZ; Clay Loam 29-35 PZ; Low Stony Hill 29-35 PZ; Shallow 29-35 PZ,0.0,Lithic bedrock; Paralithic bedrock,42.5,25.95,31.55,31.25,7.7,3.4375,thin_limestone,Thin rocky limestone / karst
BtG,"Brackett-Rock outcrop-Real complex, 8 to 30 percent slopes",378709,,20,17.3,0,,,,,0,2.79,4.02,4.02,4.02,Well drained,Well drained,D,,100,7,60,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.416,Erosion hazard moderate,0,1,Brackett,38,Yes,,20.0,High,Well drained,No,D,ridges on plateaus,Clay Loam 29-35 PZ; Steep Adobe 29-35 PZ; Steep Rocky 23-31 PZ,0.0,Lithic bedrock; Paralithic bedrock,27.5,34.9,37.6,58.75,8.05,3.4375,steep_rocky_slope,Steep rocky limestone slope
